script	glottocode	collected	source	omniglot	iso15924
Somali (Latin)	soma1255	Irina Astafyeva	Saeed, J. (1999). Somali (Vol. 10). John Benjamins Publishing.	https://www.omniglot.com/writing/somali.htm	Latn
Sorani	cent1972	Irina Astafyeva	Thackston, W. M. (2006). Kurmanji Kurdish:-A Reference Grammar with Selected Readings. Renas Media.	https://www.omniglot.com/writing/kurdish.htm	Arab
Southern Sami	sout2674	Irina Astafyeva	Vangberg – Brandsfjell: Saemesth amma! Gïelemaahtotje - Liten grammatikk. Sijti Jarnge 2009.	https://www.omniglot.com/writing/southernsami.htm	Latn
Spanish	stan1288	Tanya Masumi	Garrido, J. M., Machuca, M. J. y de la Mota, C. (1998). Prácticas de fonética. Lengua española I. Bellaterra: Universitat Autònoma de Barcelona.	https://www.omniglot.com/writing/spanish.htm	Latn
Swahili	swah1253	Asya Simonyan	Russell, J. (1996). Swahili (Teach Yourself).	https://www.omniglot.com/writing/swahili.htm	Latn
Swedish	swed1254	Violetta Ivanova	Vera Croghan. Swedish (Teach Yourself). 1995.	https://www.omniglot.com/writing/swedish.htm	Latn
Syriac	clas1252	Irina Astafyeva	Muraoka, T. (2005). Classical Syriac: a basic grammar with a chrestomathy (Vol. 19). Otto Harrassowitz Verlag.	https://www.omniglot.com/writing/syriac.htm	Syrc
Tabasaran	taba1259	Anna Sorokina	Алексеев, М.Е., Шихалиева, С.Х. (2003). Табасаранский язык. Языки народов России. Москва: Academia.	httpsː//www.omniglot.com/writing/tabassaran.htm	Cyrl
Tahitian	tahi1242	Tanya Masumi	Burbidge G. W. A new grammar of the Tahitian dialect of the Polynesian language: And combined with a vocabulary of English, French, Tahitian //Papeete, Tahiti, French Polynesia, Church of Jesus Christ of Latter-Day Saints. – 1930.	https://www.omniglot.com/writing/tahitian.htm	Latn
Tajik 1	taji1245	Tanya Masumi	Perry J. R., Windfuhr G. Persian and Tajik //The Iranian Languages. – Routledge, 2013. – С. 492-620	https://www.omniglot.com/writing/tajik.htm	Cyrl
Tajik 2	taji1245	Darya Zubova	Ido, Sh. (2005) Tajik, Lincom Europa	https://www.omniglot.com/writing/tajik.htm	Cyrl
Tamil	tami1289	Anna Verdieva	Andronov, M. S. (1965). The Tamil Language. Nauka.	https://www.omniglot.com/writing/tamil.htm	Taml
Tao	taoo1239	Nikita Shennikov	Rau, D. Victoria, Maa-Neu Dong,  Yami texts with reference grammar and dictionary, 2006	https://www.omniglot.com/writing/yami.htm	Latn
Telugu	telu1262	Anna Sorokina	Krishnamurti, B., & Gwynn, J. P. L. (1985). A grammar of modern Telugu. Delhi: Oxford University Press.	https://www.omniglot.com/writing/telugu.htm	Telu
Temne	timn1235	Asya Simonyan	Peace Corps Sierra Leone (1987). Temne Language Manual.	https://www.omniglot.com/writing/temne.htm	Latn
Ter Sami	ters1235	Irina Astafyeva	Куруч Р. Д. Краткий грамматический очерк саамского языка //РД Куруч (ред.). Саамско-русский словарь. М: Русский язык. – 1985. – С. 529-567.	https://www.omniglot.com/writing/tersami.htm	Cyrl
Tibetan	tibe1272	Anna Verdieva	Tournade N. (2003) Manual of Standard Tibetan +AC0- Language and Civilization/ Nicolas Tournade, Sangda Dorje +AC0- Ithaca, NY: Snow Lion Publications.	https://www.omniglot.com/writing/tibetan.htm	Tibt
Tigre (Abjad)	tigr1270	Irina Astafyeva	Raz, S. (1983). Tigre grammar and texts (Vol. 4). Undena Publications.	https://www.omniglot.com/writing/tigre.htm	Arab
Tigre (Geez)	tigr1270	Irina Astafyeva	Raz, S. (1983). Tigre grammar and texts (Vol. 4). Undena Publications.	https://www.omniglot.com/writing/tigre.htm	Ethi
Tigrinya	tigr1271	Irina Astafyeva	Mason, J. S. (Ed.). (1996). Tigrinya grammar. Red Sea Press (NJ).	https://www.omniglot.com/writing/tigrinya.htm	Ethi
Tikopia	tiko1237	Nikita Shennikov	Firth Raymond, Tikopia-English Dictionary, 1985	https://www.omniglot.com/writing/tikopia.htm	Latn
Tokelauan	toke1240	Nikita Shennikov	Hooper Robin, Studies in Tokelauan syntax, 1994	https://www.omniglot.com/writing/tokelauan.htm	Latn
Tsonga	tson1249	Anna Simonyan	Ouwehand, M. (1965). Everyday Tsonga. Swiss Mission in South Africa.	https://www.omniglot.com/writing/tsonga.php	Latn
Turkish	nucl1301	Vyacheslav Ivanov	Göksel A., Kerslake C. (2004) Turkish: A Comprehensive Grammar. London	https://www.omniglot.com/writing/turkish.htm	Latn
Tuvaluan	tuva1244	Nikita Shennikov	Niko Besnier, Tuvaluan: A Polynesian Language of the Central Pacific, 2000	https://www.omniglot.com/writing/tuvaluan.htm	Latn
Tuvan	tuvi1240	Vyacheslav Ivanov	Iskhakov, F. G., Palmbakh, A. A. (1961) Grammatica tuvinskogo yazika. Fonetica i morfologiya. Moscow	https://www.omniglot.com/writing/tuvan.php	Cyrl
Udmurt	udmu1245	Irina Astafyeva	И. В. Тараканов. Алфавит. — Удмуртская Республика: Энциклопедия. — Ижевск : Удмуртия, 2000. — С. 168. — 800 с.	https://www.omniglot.com/writing/udmurt.htm	Cyrl
Ukrainian 1	ukra1253	Darya Zubova	Danyenko, A., Vakylenko, S. (1995) Ukranian, Lincom Europa, M_nchen-Newcastle	https://www.omniglot.com/writing/ukrainian.htm	Cyrl
Ukrainian 2	ukra1253	Violetta Ivanova	Stefan M. Pugh and Ian Press. Ukrainian. A comprehensive grammar. 1999	https://www.omniglot.com/writing/ukrainian.htm	Cyrl
Upper Sorbian	uppe1395	Violetta Ivanova	Gerald Stone. Sorbian (Upper and Lower). In Bernard Comrie, Creville C. Corbett (eds). The Slavonic Languages. London and New York, Routledge. 2095	https://www.omniglot.com/writing/sorbian.htm	Latn
Urdu	urdu1245	Irina Astafyeva	Delacy, R. (2003). Teach Yourself Beginner's Urdu Script. Teach Yourself.	https://www.omniglot.com/writing/urdu.htm	Arab
Uzbek	uzbe1247	Darya Zubova	Ibragimov, S. I. (1972) Voprosy sovershenstvovaniya alfavitov tyurkskih yazykov SSSR, Moscow	https://www.omniglot.com/writing/uzbek.htm	Cyrl
Vaeakau-Taumako	pile1238	Nikita Shennikov	Næss A., Hovdhaugen E, A grammar of Vaeakau-Taumako, 2011	https://www.omniglot.com/writing/vaeakautaumako.htm	Latn
Vai	vaii1241	Nikita Shennikov	S. Lamii Tucker, 1999	https://www.omniglot.com/writing/vai.htm	Vaii
Vananga rapa nui	rapa1244	Nikita Shennikov	Paulus-Jan Kieviet, A grammar of Rapa Nui, 2017	https://www.omniglot.com/writing/rapanui.htm	Latn
Vietnamese	viet1252	Daria Demkina	Thompson, L. C. (1987). A Vietnamese reference grammar (Vol. 13). University of Hawaii Press.	https://omniglot.com/writing/vietnamese.htm	Latn
Võro	voro1241	Irina Astafyeva	https://linguapedia.info/languages/voro.html	https://www.omniglot.com/writing/voro.htm	Latn
Wa	waaa1245	Daria Demkina	Mai M. S.(2012) A Descriptive Grammar of Wa. Payap University.	https://omniglot.com/writing/wa.htm	Latn
Wallisian	wall1257	Nikita Shennikov	Tsukamoto Akihisa, The language of Niuafo'ou Island, 1988	https://www.omniglot.com/writing/wallisian.htm	Latn
Welsh	wels1247	Tanya Masumi	Awbery G. Welsh. – na, 2009.	https://www.omniglot.com/writing/welsh.htm	Latn
Wolof	nucl1347	Asya Simonyan	Peace Corps The Gambia (1995). Wollof Grammar Manual.	https://www.omniglot.com/writing/wolof.htm	Latn
Xhosa	xhos1239	Anna Simonyan	Kirsch, B., Skorge, S., & Magona, S. (2003). Teach Yourself Xhosa. Hodder Headline.	https://www.omniglot.com/writing/xhosa.htm	Latn
Yakut	yaku1245	Vyacheslav Ivanov	Kharitonov, L. N. (1947) Sovremennyj yakutskij yazyk: Fonetika i morfologiya. Yakutsk	https://www.omniglot.com/writing/yakut.htm	Cyrl
Yapese	yape1248	Tanya Masumi	Phillips L. // Yapese Alphabet.-- Pacific Resources for Education and Learning, 2006	https://www.omniglot.com/writing/yapese.htm	Latn
Yiddish	yidd1255	Violetta Ivanova	Dovid Katz. Grammar of the Yiddish Language. Duckworth, 1987.	https://www.omniglot.com/writing/yiddish.htm	Hebr
Yoruba	yoru1245	Nikita Shennikov	Ọladele A. 1978 Essentials of Yoruba grammar	https://www.omniglot.com/writing/yoruba.htm	Latn
Zulu 1	zulu1248	Anna Simonyan	Wilkes, A., & Nkosi, N. (2003). Zulu. Teach Yourself.	https://omniglot.com/writing/zulu.htm	Latn
Zulu 2	zulu1248	Roman Tarasov	Doke. Vilakazi (1972) Zulu-English Dictionary. Johannesburg	https://omniglot.com/writing/zulu.htm	Latn
